email,result,reason,disposable,accept_all,role,free,user,domain,mx_record,mx_domain,did_you_mean
cna@sap.com,valid,accepted_email,false,false,false,false,cna,sap.com,sap-com.mail.protection.outlook.com,outlook.com,cna@mac.com
cna@vuldb.com,valid,accepted_email,false,false,false,false,cna,vuldb.com,_dc-mx.a5e61b6c24c4.vuldb.com,vuldb.com,
cna@zigor.com,valid,accepted_email,false,false,false,false,cna,zigor.com,zigor-com.mail.protection.outlook.com,outlook.com,
cna@zohocorp.com,valid,accepted_email,false,false,false,false,cna,zohocorp.com,zc-mx.zohocorp.com,zohocorp.com,
cnalr-coordination@redhat.com,unknown,temporarily_blocked,false,false,false,false,cnalr-coordination,redhat.com,us-smtp-inbound-1.mimecast.com,mimecast.com,
contact@securifera.com,valid,accepted_email,false,false,true,false,contact,securifera.com,mx.securifera.com,securifera.com,
contact@wpscan.com,unknown,temporarily_blocked,false,false,true,false,contact,wpscan.com,mx1.dfw.automattic.com,automattic.com,
cpcert@se.com,unknown,temporarily_blocked,false,false,false,false,cpcert,se.com,de-smtp-inbound-1.mimecast.com,mimecast.com,cpcert@me.com
csirt@divd.nl,valid,accepted_email,false,false,false,false,csirt,divd.nl,mx1.smtp.goog,smtp.goog,csirt@live.nl
cvd@cert.pl,valid,accepted_email,false,false,false,false,cvd,cert.pl,mx1.cert.pl,cert.pl,
cvd@gehealthcare.com,valid,accepted_email,false,false,false,false,cvd,gehealthcare.com,gehealthcare-com.mail.protection.outlook.com,outlook.com,
cve-coordination@echohq.com,valid,accepted_email,false,false,false,false,cve-coordination,echohq.com,aspmx.l.google.com,google.com,
cve-coordination@hckrt.com,valid,accepted_email,false,false,false,false,cve-coordination,hckrt.com,hckrt-com.mail.protection.outlook.com,outlook.com,
cve-coordination@incibe.es,valid,accepted_email,false,true,false,false,cve-coordination,incibe.es,correo.incibe.es,incibe.es,
cve-coordination@logitech.com,valid,accepted_email,false,true,false,false,cve-coordination,logitech.com,aspmx.l.google.com,google.com,
cve-coordination@maritimehackingvillage.com,valid,accepted_email,false,false,false,false,cve-coordination,maritimehackingvillage.com,smtp.google.com,google.com,
cve-coordination@monash.edu,valid,accepted_email,false,false,false,false,cve-coordination,monash.edu,ASPMX.L.GOOGLE.COM,GOOGLE.COM,
cve-coordination@palantir.com,valid,accepted_email,false,true,false,false,cve-coordination,palantir.com,mx0a-00153501.pphosted.com,pphosted.com,
cve-coordination@ribose.com,invalid,rejected_email,false,false,false,false,cve-coordination,ribose.com,ribose-com.mail.protection.outlook.com,outlook.com,
cve-coordination@sba-research.org,valid,accepted_email,false,false,false,false,cve-coordination,sba-research.org,mailgw.sba-research.org,sba-research.org,
cve-coordination@softiron.com,valid,accepted_email,false,false,false,false,cve-coordination,softiron.com,aspmx.l.google.com,google.com,
cve-coordination@stackable.tech,valid,accepted_email,false,true,false,false,cve-coordination,stackable.tech,ASPMX.L.GOOGLE.COM,GOOGLE.COM,
cve-coordination@wiz.io,valid,accepted_email,false,true,false,false,cve-coordination,wiz.io,smtp.google.com,google.com,
cve-coordinator@bugcrowd.com,valid,accepted_email,false,true,false,false,cve-coordinator,bugcrowd.com,aspmx.l.google.com,google.com,
cve-reporting@almaviva.it,valid,accepted_email,false,false,false,false,cve-reporting,almaviva.it,almaviva-it.mail.protection.outlook.com,outlook.com,
cve-request@cirosec.de,valid,accepted_email,false,false,false,false,cve-request,cirosec.de,cirosec-de.mail.protection.outlook.com,outlook.com,
cve-request@iojs.org,valid,accepted_email,false,false,false,false,cve-request,iojs.org,mxa.mailgun.org,mailgun.org,
cve-request@security.metacpan.org,valid,accepted_email,false,false,false,false,cve-request,security.metacpan.org,mx1.simplelists.com,simplelists.com,
cve-request@wordfence.com,valid,accepted_email,false,false,false,false,cve-request,wordfence.com,aspmx.l.google.com,google.com,
cve-requests@bitdefender.com,valid,accepted_email,false,true,false,false,cve-requests,bitdefender.com,mx01.bitdefender.com,bitdefender.com,
cve.coordination@hackrtu.com,valid,accepted_email,false,true,false,false,cve.coordination,hackrtu.com,hackrtu-com.mail.protection.outlook.com,outlook.com,
cve@aliasrobotics.com,valid,accepted_email,false,false,false,false,cve,aliasrobotics.com,aspmx.l.google.com,google.com,
cve@asrg.io,valid,accepted_email,false,true,false,false,cve,asrg.io,aspmx.l.google.com,google.com,
cve@atisoluciones.com,valid,accepted_email,false,false,false,false,cve,atisoluciones.com,aspmx.l.google.com,google.com,
cve@bombadil.systems,valid,accepted_email,false,false,false,false,cve,bombadil.systems,mx001.netsol.xion.oxcs.net,oxcs.net,
cve@cert.org.tw,valid,accepted_email,false,true,false,false,cve,cert.org.tw,ms1.nics.nat.gov.tw,nat.gov.tw,
cve@checkpoint.com,valid,accepted_email,false,true,false,false,cve,checkpoint.com,checkpoint-com.d-v1.mx.microsoft,mx.microsoft,
cve@curl.se,valid,accepted_email,false,false,false,false,cve,curl.se,mail.haxx.se,haxx.se,
cve@cygence.com.au,valid,accepted_email,false,false,false,false,cve,cygence.com.au,cygence-com-au.mail.protection.outlook.com,outlook.com,
cve@delinea.com,valid,accepted_email,false,true,false,false,cve,delinea.com,delinea-com.mail.protection.outlook.com,outlook.com,
cve@forums.swift.org,valid,accepted_email,false,true,false,false,cve,forums.swift.org,mx-corp1.discoursemail.com,discoursemail.com,
cve@gitlab.com,valid,accepted_email,false,true,false,false,cve,gitlab.com,aspmx.l.google.com,google.com,
cve@graphql-java.com,valid,accepted_email,false,true,false,false,cve,graphql-java.com,in1-smtp.messagingengine.com,messagingengine.com,
cve@intigriti.com,valid,accepted_email,false,false,false,false,cve,intigriti.com,intigriti-com.mail.protection.outlook.com,outlook.com,
cve@keepersecurity.com,valid,accepted_email,false,false,false,false,cve,keepersecurity.com,aspmx.l.google.com,google.com,
cve@kernel.org,valid,accepted_email,false,false,false,false,cve,kernel.org,smtp1.kernel.org,kernel.org,
cve@navercorp.com,valid,accepted_email,false,false,false,false,cve,navercorp.com,mx1.navercorp.com,navercorp.com,
cve@os-s.de,valid,accepted_email,false,false,false,false,cve,os-s.de,xchg.spenneberg.net,spenneberg.net,
cve@profelis.com.tr,valid,accepted_email,false,false,false,false,cve,profelis.com.tr,aspmx.l.google.com,google.com,
cve@projectblack.io,valid,accepted_email,false,true,false,false,cve,projectblack.io,projectblack-io.mail.protection.outlook.com,outlook.com,
cve@rapid7.com,valid,accepted_email,false,false,false,false,cve,rapid7.com,aspmx.l.google.com,google.com,
cve@sealsecurity.io,valid,accepted_email,false,true,false,false,cve,sealsecurity.io,aspmx.l.google.com,google.com,
cve@senhasegura.com,valid,accepted_email,false,false,false,false,cve,senhasegura.com,aspmx.l.google.com,google.com,
cve@takeonme.org,valid,accepted_email,false,false,false,false,cve,takeonme.org,mail.protonmail.ch,protonmail.ch,
cve@tegocyber.com,valid,accepted_email,false,false,false,false,cve,tegocyber.com,tegocyber-com.mail.protection.outlook.com,outlook.com,
cve@usom.gov.tr,valid,accepted_email,false,true,false,false,cve,usom.gov.tr,mail.btk.gov.tr,btk.gov.tr,
cve@wpfull.com.br,unknown,unavailable_smtp,false,false,false,false,cve,wpfull.com.br,mail.wpfull.com.br,wpfull.com.br,
cve@zscaler.com,valid,accepted_email,false,true,false,false,cve,zscaler.com,aspmx.l.google.com,google.com,
cve_disclosure@tech.gov.sg,valid,accepted_email,false,false,false,false,cve_disclosure,tech.gov.sg,mx1.sgict.gov.sg,sgict.gov.sg,
cves@blacklanternsecurity.com,valid,accepted_email,false,false,false,false,cves,blacklanternsecurity.com,blacklanternsecurity-com.mail.protection.outlook.com,outlook.com,
cyberarklabs@cyberark.com,valid,accepted_email,false,true,false,false,cyberarklabs,cyberark.com,mxa-0021d601.gslb.pphosted.com,pphosted.com,
cybersecurity@ch.abb.com,valid,accepted_email,false,false,false,false,cybersecurity,ch.abb.com,mxb-00661e01.gslb.pphosted.com,pphosted.com,
cybersecurity@dahuatech.com,valid,accepted_email,false,true,false,false,cybersecurity,dahuatech.com,smtp.dahuainc.net,dahuainc.net,
cybersecurity@hitachienergy.com,valid,accepted_email,false,false,false,false,cybersecurity,hitachienergy.com,hitachienergy-com.mail.protection.outlook.com,outlook.com,
cytiva_productsecurity@cytiva.com,valid,accepted_email,false,true,false,false,cytiva_productsecurity,cytiva.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
delta.psirt@deltaww.com,valid,accepted_email,false,true,false,false,delta.psirt,deltaww.com,deltaww.in.tmes.trendmicro.com,trendmicro.com,
dgi-fb_vulnerability_report@fujifilm.com,valid,accepted_email,false,true,false,false,dgi-fb_vulnerability_report,fujifilm.com,mxa-00922502.gslb.pphosted.com,pphosted.com,
disclose@cybersecurityworks.com,valid,accepted_email,false,false,false,false,disclose,cybersecurityworks.com,aspmx.l.google.com,google.com,
disclose@securin.io,valid,accepted_email,false,false,false,false,disclose,securin.io,aspmx.l.google.com,google.com,
disclosure@connectwise.com,valid,accepted_email,false,true,false,false,disclosure,connectwise.com,mxa-005c1903.gslb.pphosted.com,pphosted.com,
disclosure@hiddenlayer.com,valid,accepted_email,false,false,false,false,disclosure,hiddenlayer.com,ASPMX.L.GOOGLE.com,GOOGLE.com,
disclosure@toreon.com,valid,accepted_email,false,false,false,false,disclosure,toreon.com,toreon-com.mail.protection.outlook.com,outlook.com,
disclosure@vulncheck.com,valid,accepted_email,false,false,false,false,disclosure,vulncheck.com,aspmx.l.google.com,google.com,
disclosure@wrensecurity.org,valid,accepted_email,false,true,false,false,disclosure,wrensecurity.org,aspmx.l.google.com,google.com,
disclosures@automox.com,valid,accepted_email,false,false,false,false,disclosures,automox.com,aspmx.l.google.com,google.com,
disclosures@enterprisedb.com,valid,accepted_email,false,true,false,false,disclosures,enterprisedb.com,mxa-006f8902.gslb.pphosted.com,pphosted.com,
disclosures@exodusintel.com,valid,accepted_email,false,false,false,false,disclosures,exodusintel.com,exodusintel-com.mail.protection.outlook.com,outlook.com,
disclosures@gallagher.com,valid,accepted_email,false,false,false,false,disclosures,gallagher.com,gallagher-com.mail.protection.outlook.com,outlook.com,
disclosures@halborn.com,valid,accepted_email,false,false,false,false,disclosures,halborn.com,halborn-com.mail.protection.outlook.com,outlook.com,
disclosures@herodevs.com,valid,accepted_email,false,true,false,false,disclosures,herodevs.com,aspmx.l.google.com,google.com,
disclosures@korelogic.com,unknown,temporarily_blocked,false,false,false,false,disclosures,korelogic.com,mail.korelogic.com,korelogic.com,
dspa-cve@google.com,valid,accepted_email,false,true,false,false,dspa-cve,google.com,smtp.google.com,google.com,
es.dis.s21sec.cve.coordination@thalesgroup.com,valid,accepted_email,false,false,false,false,es.dis.s21sec.cve.coordination,thalesgroup.com,mx01.thalesgroup.com,thalesgroup.com,
f5sirt@f5.com,valid,accepted_email,false,true,false,false,f5sirt,f5.com,mx2.hc5801-97.iphmx.com,iphmx.com,
facts@wolfssl.com,valid,accepted_email,false,true,false,false,facts,wolfssl.com,aspmx.l.google.com,google.com,
feedback-crypto@bouncycastle.org,valid,accepted_email,false,false,false,false,feedback-crypto,bouncycastle.org,mail.bouncycastle.org,bouncycastle.org,
gev.psirt@gevernova.com,valid,accepted_email,false,false,false,false,gev.psirt,gevernova.com,gevernova-com.mail.protection.outlook.com,outlook.com,
glibc-cna@sourceware.org,valid,accepted_email,false,false,false,false,glibc-cna,sourceware.org,sourceware.org,sourceware.org,
global.corp.product.security@vantive.com,valid,accepted_email,false,true,false,false,global.corp.product.security,vantive.com,mx1.hc6366-77.iphmx.com,iphmx.com,
google-cloud-cve-program@google.com,valid,accepted_email,false,true,false,false,google-cloud-cve-program,google.com,smtp.google.com,google.com,
hdq-toshiba-psirt@ml.toshiba.co.jp,valid,accepted_email,false,false,false,false,hdq-toshiba-psirt,ml.toshiba.co.jp,mx.securemx.jp,securemx.jp,
help@fluidattacks.com,valid,accepted_email,false,false,true,false,help,fluidattacks.com,aspmx.l.google.com,google.com,
hirt@hitachi.co.jp,valid,accepted_email,false,true,false,false,hirt,hitachi.co.jp,mx1.hc514-86.ap.iphmx.com,iphmx.com,
hp-security-alert@hp.com,unknown,temporarily_blocked,false,false,false,false,hp-security-alert,hp.com,us-smtp-inbound-1.mimecast.com,mimecast.com,
hsrc@hikvision.com,valid,accepted_email,false,true,false,false,hsrc,hikvision.com,mailus.hikvision.com,hikvision.com,
ict.security@gridware.com.au,valid,accepted_email,false,false,false,false,ict.security,gridware.com.au,gridware-com-au.mail.protection.outlook.com,outlook.com,
incident@nbu.gov.sk,valid,accepted_email,false,true,false,false,incident,nbu.gov.sk,mail.gov.sk,mail.gov.sk,
info@appcheck-ng.com,valid,accepted_email,false,false,true,false,info,appcheck-ng.com,appcheckng-com02b.mail.protection.outlook.com,outlook.com,
info@cert.vde.com,valid,accepted_email,false,true,true,false,info,cert.vde.com,mx1.certvde.com,certvde.com,
info@greenrocketsecurity.com,valid,accepted_email,false,true,true,false,info,greenrocketsecurity.com,greenrocketsecurity-com.mail.protection.outlook.com,outlook.com,
info@starlabs.sg,valid,accepted_email,false,false,true,false,info,starlabs.sg,aspmx.l.google.com,google.com,
infosec-cna@edk2.groups.io,valid,accepted_email,false,false,false,false,infosec-cna,edk2.groups.io,lb01.groups.io,groups.io,
jenkinsci-cert@googlegroups.com,valid,accepted_email,false,false,false,false,jenkinsci-cert,googlegroups.com,gmr-smtp-in.l.google.com,google.com,
larry0@me.com,valid,accepted_email,false,false,false,true,larry0,me.com,mx01.mail.icloud.com,icloud.com,
lbs.productsecurity@leicabiosystems.com,valid,accepted_email,false,true,false,false,lbs.productsecurity,leicabiosystems.com,mxb-001d2f01.gslb.pphosted.com,pphosted.com,
ljharb@harbor.ist,valid,accepted_email,false,true,false,false,ljharb,harbor.ist,mailserver.purelymail.com,purelymail.com,
mandiant-cve@google.com,valid,accepted_email,false,true,false,false,mandiant-cve,google.com,smtp.google.com,google.com,
megarac.security@ami.com,valid,accepted_email,false,false,false,false,megarac.security,ami.com,ami-com.mail.protection.outlook.com,outlook.com,megarac.security@aol.com
mitsubishielectric.psirt@yd.mitsubishielectric.co.jp,valid,accepted_email,false,true,false,false,mitsubishielectric.psirt,yd.mitsubishielectric.co.jp,yd-mitsubishielectric-co-jp.mail.protection.outlook.com,outlook.com,
ml-sec-cna@lycorp.co.jp,valid,accepted_email,false,true,false,false,ml-sec-cna,lycorp.co.jp,mxb-0057a801.gslb.pphosted.com,pphosted.com,
mobile.security@samsung.com,valid,accepted_email,false,false,false,false,mobile.security,samsung.com,mailin.samsung.com,samsung.com,
office@cyberdanube.com,valid,accepted_email,false,false,true,false,office,cyberdanube.com,cyberdanube-com.mail.protection.outlook.com,outlook.com,
openbmc-security@lists.ozlabs.org,unknown,temporarily_blocked,false,false,false,false,openbmc-security,lists.ozlabs.org,mx0.ozlabs.org,ozlabs.org,
openeuler-security@openeuler.org,valid,accepted_email,false,false,false,false,openeuler-security,openeuler.org,mail.openeuler.org,openeuler.org,
openssl-security@openssl.org,valid,accepted_email,false,true,false,false,openssl-security,openssl.org,aspmx.l.google.com,google.com,
oss-report@checkmarx.com,valid,accepted_email,false,false,false,false,oss-report,checkmarx.com,checkmarx-com.mail.protection.outlook.com,outlook.com,
ot-cert@dragos.com,valid,accepted_email,false,false,false,false,ot-cert,dragos.com,mxa-00386c03.gslb.pphosted.com,pphosted.com,
paddle-security@baidu.com,valid,accepted_email,false,false,false,false,paddle-security,baidu.com,mx.maillb.baidu.com,baidu.com,
prodsec@nozominetworks.com,valid,accepted_email,false,true,false,false,prodsec,nozominetworks.com,mxa-00756801.gslb.pphosted.com,pphosted.com,
product-cna@github.com,valid,accepted_email,false,true,false,false,product-cna,github.com,github-com.mail.protection.outlook.com,outlook.com,
product-security@apple.com,valid,accepted_email,false,false,false,false,product-security,apple.com,mx-in.g.apple.com,apple.com,
product-security@asrmicro.com,valid,accepted_email,false,true,false,false,product-security,asrmicro.com,mail.asrmicro.com,asrmicro.com,
product-security@axis.com,valid,accepted_email,false,false,false,false,product-security,axis.com,smtp1.axis.com,axis.com,
product-security@canon-europe.com,valid,accepted_email,false,false,false,false,product-security,canon-europe.com,canoneurope-com01c.mail.protection.outlook.com,outlook.com,
product-security@gg.jp.panasonic.com,valid,accepted_email,false,true,false,false,product-security,gg.jp.panasonic.com,panasonic.in.tmems-jp.trendmicro.com,trendmicro.com,
product-security@qualcomm.com,valid,accepted_email,false,true,false,false,product-security,qualcomm.com,mxa-0031df01.gslb.pphosted.com,pphosted.com,
product-security@silabs.com,valid,accepted_email,false,true,false,false,product-security,silabs.com,mxa-0024c301.gslb.pphosted.com,pphosted.com,
product-security@xonasystems.com,valid,accepted_email,false,false,false,false,product-security,xonasystems.com,xonasystems-com.mail.protection.outlook.com,outlook.com,
product.security@arconnet.com,valid,accepted_email,false,false,false,false,product.security,arconnet.com,arconnet-com.mail.protection.outlook.com,outlook.com,
product.security@lge.com,valid,accepted_email,false,true,false,false,product.security,lge.com,lgesmtp.lge.com,lge.com,product.security@live.com
product.security@radiometer.dk,valid,accepted_email,false,true,false,false,product.security,radiometer.dk,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
product.security@roche.com,valid,accepted_email,false,false,false,false,product.security,roche.com,rmumtaext02.roche.com,roche.com,
product.security@xyleminc.com,valid,accepted_email,false,true,false,false,product.security,xyleminc.com,mxa-003d2901.gslb.pphosted.com,pphosted.com,
productcert@siemens.com,valid,accepted_email,false,false,false,false,productcert,siemens.com,siemens-com.h-v1.mx.microsoft,mx.microsoft,
productsecurity@baxter.com,valid,accepted_email,false,true,false,false,productsecurity,baxter.com,mx1.hc3292-22.iphmx.com,iphmx.com,
productsecurity@bbraun.com,valid,accepted_email,false,false,false,false,productsecurity,bbraun.com,mxa-00163d02.gslb.pphosted.com,pphosted.com,
productsecurity@beckman.com,valid,accepted_email,false,true,false,false,productsecurity,beckman.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
productsecurity@carrier.com,valid,accepted_email,false,false,false,false,productsecurity,carrier.com,mxa-0065c301.gslb.pphosted.com,pphosted.com,
productsecurity@cepheid.com,valid,accepted_email,false,true,false,false,productsecurity,cepheid.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
productsecurity@hemocue.se,valid,accepted_email,false,true,false,false,productsecurity,hemocue.se,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
productsecurity@idtdna.com,valid,accepted_email,false,true,false,false,productsecurity,idtdna.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
productsecurity@jamf.com,valid,accepted_email,false,false,false,false,productsecurity,jamf.com,jamf-com.mail.protection.outlook.com,outlook.com,
productsecurity@jci.com,valid,accepted_email,false,false,false,false,productsecurity,jci.com,jci-com.mail.protection.outlook.com,outlook.com,productsecurity@cs.com
productsecurity@leica-microsystems.com,valid,accepted_email,false,true,false,false,productsecurity,leica-microsystems.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,
productsecurity@pall.com,valid,accepted_email,false,true,false,false,productsecurity,pall.com,mxa-001d2f01.gslb.pphosted.com,pphosted.com,productsecurity@aol.com
productsecurity@philips.com,valid,accepted_email,false,false,false,false,productsecurity,philips.com,philips-com.mail.protection.outlook.com,outlook.com,
productsecurity@stryker.com,valid,accepted_email,false,true,false,false,productsecurity,stryker.com,stryker-com.mail.protection.outlook.com,outlook.com,
productsecurity@teradyne-robotics.com,valid,accepted_email,false,true,false,false,productsecurity,teradyne-robotics.com,mxa-0015db01.gslb.pphosted.com,pphosted.com,
productvulnerability@imanage.com,valid,accepted_email,false,false,false,false,productvulnerability,imanage.com,imanage-com.mail.protection.outlook.com,outlook.com,
psirt-cna@flexerasoftware.com,valid,accepted_email,false,true,false,false,psirt-cna,flexerasoftware.com,flexerasoftware-com.mail.protection.outlook.com,outlook.com,
psirt-info@mlsig.jp.nec.com,valid,accepted_email,false,true,false,false,psirt-info,mlsig.jp.nec.com,mx2.hc221-79.ap.iphmx.com,iphmx.com,
psirt@adobe.com,valid,accepted_email,false,true,false,false,psirt,adobe.com,adobe-com.mail.protection.outlook.com,outlook.com,
psirt@altera.com,valid,accepted_email,false,false,false,false,psirt,altera.com,altera-com.mail.protection.outlook.com,outlook.com,
psirt@amd.com,valid,accepted_email,false,true,false,false,psirt,amd.com,amd-com.mail.protection.outlook.com,outlook.com,psirt@aol.com
psirt@amperecomputing.com,valid,accepted_email,false,true,false,false,psirt,amperecomputing.com,amperecomputing-com.mail.protection.outlook.com,outlook.com,
psirt@arista.com,valid,accepted_email,false,true,false,false,psirt,arista.com,aspmx.l.google.com,google.com,
psirt@arm.com,valid,accepted_email,false,true,false,false,psirt,arm.com,arm-com.mail.protection.outlook.com,outlook.com,psirt@aol.com
psirt@arteche.com,valid,accepted_email,false,false,false,false,psirt,arteche.com,arteche-com.mail.protection.outlook.com,outlook.com,
psirt@autodesk.com,valid,accepted_email,false,false,false,false,psirt,autodesk.com,autodesk-com.mail.protection.outlook.com,outlook.com,
psirt@blackduck.com,valid,accepted_email,false,false,false,false,psirt,blackduck.com,blackduck-com.mail.protection.outlook.com,outlook.com,
psirt@bosch.com,valid,accepted_email,false,false,false,false,psirt,bosch.com,bosch-com.mail.protection.outlook.com,outlook.com,
psirt@broadcom.com,valid,accepted_email,false,true,false,false,psirt,broadcom.com,mx1.smtp.goog,smtp.goog,
psirt@ciena.com,valid,accepted_email,false,true,false,false,psirt,ciena.com,mxa-00103a01.gslb.pphosted.com,pphosted.com,psirt@sina.com
psirt@cisco.com,valid,accepted_email,false,true,false,false,psirt,cisco.com,alln-mx-01.cisco.com,cisco.com,
psirt@commvault.com,valid,accepted_email,false,true,false,false,psirt,commvault.com,primary.us.email.fireeyecloud.com,fireeyecloud.com,
psirt@eaton.com,valid,accepted_email,false,true,false,false,psirt,eaton.com,eaton-com.mail.protection.outlook.com,outlook.com,
psirt@emc.com.tw,valid,accepted_email,false,false,false,false,psirt,emc.com.tw,emcscan.emc.com.tw,emc.com.tw,psirt@gmx.com.tw
psirt@ericsson.com,valid,accepted_email,false,false,false,false,psirt,ericsson.com,ericsson-com.mail.protection.outlook.com,outlook.com,
psirt@esri.com,valid,accepted_email,false,false,false,false,psirt,esri.com,mxa-00151a02.gslb.pphosted.com,pphosted.com,
psirt@extremenetworks.com,valid,accepted_email,false,false,false,false,psirt,extremenetworks.com,extremenetworks-com.mail.protection.outlook.com,outlook.com,
psirt@forcepoint.com,valid,accepted_email,false,true,false,false,psirt,forcepoint.com,cust78413-1.in.mailcontrol.com,mailcontrol.com,
psirt@hcl-software.com,valid,accepted_email,false,false,false,false,psirt,hcl-software.com,smtp.google.com,google.com,
psirt@hillstonenet.com,valid,accepted_email,false,true,false,false,psirt,hillstonenet.com,coremail.hillstonenet.com,hillstonenet.com,
psirt@honeywell.com,valid,accepted_email,false,true,false,false,psirt,honeywell.com,honeywell-com.mail.protection.outlook.com,outlook.com,
psirt@huawei.com,valid,accepted_email,false,false,false,false,psirt,huawei.com,mx5.huawei.com,huawei.com,
psirt@idemia.com,valid,accepted_email,false,true,false,false,psirt,idemia.com,mxa-0018b601.gslb.pphosted.com,pphosted.com,
psirt@lenovo.com,valid,accepted_email,false,false,false,false,psirt,lenovo.com,lenovo-com.mail.protection.outlook.com,outlook.com,
psirt@leonardo.com,valid,accepted_email,false,false,false,false,psirt,leonardo.com,leonardo-com.mail.protection.outlook.com,outlook.com,
psirt@microchip.com,valid,accepted_email,false,true,false,false,psirt,microchip.com,mx1.microchip.iphmx.com,iphmx.com,
psirt@milestonesys.com,valid,accepted_email,false,false,false,false,psirt,milestonesys.com,milestonesys-com.mail.protection.outlook.com,outlook.com,
psirt@mirantis.com,valid,accepted_email,false,true,false,false,psirt,mirantis.com,aspmx.l.google.com,google.com,
psirt@moxa.com,valid,accepted_email,false,false,false,false,psirt,moxa.com,moxa.mail.protection.outlook.com,outlook.com,
psirt@n-able.com,valid,accepted_email,false,false,false,false,psirt,n-able.com,mx1.n-able.com,n-able.com,
psirt@netskope.com,unknown,temporarily_blocked,false,false,false,false,psirt,netskope.com,us-smtp-inbound-1.mimecast.com,mimecast.com,
